Country,Injury Severity,Aircraft Damage,Aircraft Category,Make,Model,Amateur Built,Engines Count,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Report Status,Event Date,Latitude,Longitude,Amateur Built Category,Total Passengers,Aircraft Damage Severity,Average Uninjured Rate,Average Fatality Rate,Average Serious Rate,Average Minor Rate,Month
United States,Non-Fatal,Destroyed,Airplane,Piper,PA-31T,0,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC,Probable Cause,1982-01-17,,,No,3.0,3,0.0,0.0,0.0,1.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,180E,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-17,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,170B,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-17,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Beech,C23,0,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC,Probable Cause,1982-01-18,,,No,4.0,3,0.0,0.0,0.5,0.5,1
United States,Fatal,Destroyed,Airplane,Cessna,172M,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-18,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Piper,PA-28-180,0,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-18,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,180K,0,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-18,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Substantial,Airplane,Cessna,210L,0,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-18,,,No,4.0,2,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Mooney,M20F,0,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Probable Cause,1982-01-19,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Beech,G35,0,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-19,,,No,2.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,177B,0,1.0,Reciprocating,Business,1.0,2.0,0.0,0.0,UNK,Probable Cause,1982-01-19,,,No,3.0,3,0.0,0.3333333333333333,0.6666666666666666,0.0,1
United States,Fatal,Destroyed,Airplane,Grumman,AA5A,0,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-19,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Swearingen,SA226-T(B),0,2.0,Turbo Prop,Business,3.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-19,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Piper,AEROSTAR 601P,0,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-19,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,177RG,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-19,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Beachner,QUICK SILVER,1,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Probable Cause,1982-01-19,,,Yes,1.0,2,0.0,0.0,0.0,1.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,182E,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-19,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,150H,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-19,,,No,1.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,340A,0,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,UNK,Probable Cause,1982-01-19,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Incident,Minor,Airplane,Piper,PA-31-350,0,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-20,,,No,2.0,1,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Beech,58,0,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-20,,,No,2.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,182N,0,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-20,,,No,3.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Piper,PA-23-250,0,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-20,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Substantial,Airplane,Cessna,210,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,VMC,Probable Cause,1982-01-20,,,No,2.0,2,0.5,0.5,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,P210N,0,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-21,,,No,4.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,0,2.0,Reciprocating,Business,0.0,1.0,2.0,0.0,IMC,Probable Cause,1982-01-21,,,No,3.0,3,0.0,0.0,0.3333333333333333,0.6666666666666666,1
United States,Fatal,Destroyed,Airplane,Piper,PA-28-235,0,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-21,,,No,1.0,3,0.0,1.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Grumman,AA-1,1,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Probable Cause,1982-01-21,,,Yes,1.0,3,0.0,1.0,0.0,0.0,1
United States,Non-Fatal,Destroyed,Airplane,Piper,PA-32,0,1.0,Reciprocating,Personal,0.0,1.0,3.0,0.0,VMC,Probable Cause,1982-01-21,,,No,4.0,3,0.0,0.0,0.25,0.75,1
United States,Non-Fatal,Substantial,Airplane,Mooney,M-20,1,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Probable Cause,1982-01-21,,,Yes,4.0,2,1.0,0.0,0.0,0.0,1
United States,Non-Fatal,Substantial,Airplane,Cessna,172M,0,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Probable Cause,1982-01-22,,,No,2.0,2,1.0,0.0,0.0,0.0,1
United States,Fatal,Destroyed,Airplane,Cessna,172,0,1.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,IMC,Probable Cause,1982-01-23,,,No,2.0,3,0.0,0.5,0.5,0.0,1
